Addresses,Price,Price Type,Rent Estimate,Property Type,Number of Bedrooms,Number of Bathrooms,Square Feet,YTD,Address Link
"24th St E, Bradenton, FL 34203",N/A,N/A,N/A,Commercial,N/A,N/A,14418,N/A,https://www.foreclosure.com/address/24th-St-E-Bradenton-FL-34203/60832895_lid
"Gardenia Cir, Pensacola, FL 32534","$225,888",Estimated Market Value,$960/m,Single-Family,N/A,1.5,1377, 144%,https://www.foreclosure.com/address/Gardenia-Cir-Pensacola-FL-32534/60832894_lid
"Lake Melrose Dr, Orlando, FL 32829","$722,996",Estimated Market Value,$2490/m,Single-Family,4,3.5,3878, 101%,https://www.foreclosure.com/address/Lake-Melrose-Dr-Orlando-FL-32829/60832896_lid
"Summer Dr, Pensacola, FL 32504","$280,511",Estimated Market Value,$1121/m,Single-Family,N/A,2,1647, 104%,https://www.foreclosure.com/address/Summer-Dr-Pensacola-FL-32504/60832898_lid
"El Camino Dr, Cantonment, FL 32533","$242,353",Estimated Market Value,$1010/m,N/A,N/A,N/A,N/A, 111%,https://www.foreclosure.com/address/El-Camino-Dr-Cantonment-FL-32533/60832900_lid
"N 61st Ave, Pensacola, FL 32506","$197,010",Estimated Market Value,$900/m,Single-Family,N/A,1,1077, 107%,https://www.foreclosure.com/address/N-61st-Ave-Pensacola-FL-32506/60832899_lid
"E 18th St, Jacksonville, FL 32206","$201,399",Estimated Market Value,$1092/m,Single-Family,3,1,1550, 158%,https://www.foreclosure.com/address/E-18th-St-Jacksonville-FL-32206/60832903_lid
"Inverrary Dr Apt 103, Lauderhill, FL 33319","$138,000",List Price,$1102/m,Condo,2,2,972, 130%,https://www.foreclosure.com/address/Inverrary-Dr-Apt-103-Lauderhill-FL-33319/60830861_lid
"Se Capon Ter, Port Saint Lucie, FL 34983","$425,000",List Price,N/A,Single-Family,5,3,2925,N/A,https://www.foreclosure.com/address/Se-Capon-Ter-Port-Saint-Lucie-FL-34983/60830868_lid
"Smart Dr, Zephyrhills, FL 33541","$335,500",List Price,$1420/m,Single-Family,4,2,1974, 98%,https://www.foreclosure.com/address/Smart-Dr-Zephyrhills-FL-33541/60830869_lid
"Acorn Pl, Brooksville, FL 34601","$119,900",List Price,$970/m,Single-Family,1,1,768, 133%,https://www.foreclosure.com/address/Acorn-Pl-Brooksville-FL-34601/60832994_lid
"Caracus Ct, Tallahassee, FL 32303","$303,408",Estimated Market Value,$1408/m,N/A,N/A,N/A,N/A, 107%,https://www.foreclosure.com/address/Caracus-Ct-Tallahassee-FL-32303/60827979_lid
"Marion Ave, Interlachen, FL 32148","$133,475",Estimated Market Value,$952/m,Single-Family,N/A,N/A,N/A, 93%,https://www.foreclosure.com/address/Marion-Ave-Interlachen-FL-32148/60827980_lid
"E Saint Johns St, Palatka, FL 32177",N/A,N/A,N/A,Single-Family,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/E-Saint-Johns-St-Palatka-FL-32177/60827982_lid
"Baby Farm Dr N, Tallahassee, FL 32310","$320,255",Estimated Market Value,$1251/m,Single-Family,N/A,N/A,1575, 123%,https://www.foreclosure.com/address/Baby-Farm-Dr-N-Tallahassee-FL-32310/60827981_lid
"Holden Park Rd, Hawthorne, FL 32640","$602,888",Estimated Market Value,$1730/m,N/A,N/A,N/A,N/A, 257%,https://www.foreclosure.com/address/Holden-Park-Rd-Hawthorne-FL-32640/60827983_lid
"Freedom Ct, Deerfield Beach, FL 33442","$325,823",Estimated Market Value,$1670/m,Condo,3,2,1300, 108%,https://www.foreclosure.com/address/Freedom-Ct-Deerfield-Beach-FL-33442/60829324_lid
"Bay Dr Apt 4103, Niceville, FL 32578","$240,589",Estimated Market Value,$1110/m,Condo,N/A,N/A,N/A, 103%,https://www.foreclosure.com/address/Bay-Dr-Apt-4103-Niceville-FL-32578/60829326_lid
"Se 137th Ter, Dunnellon, FL 34431","$296,905",Estimated Market Value,N/A,Mobile,3,2,1980, 104%,https://www.foreclosure.com/address/Se-137th-Ter-Dunnellon-FL-34431/60827168_lid
"W Bay St Unit 205, Tampa, FL 33606","$890,010",Estimated Market Value,$2060/m,Condo,2,2,1833, 94%,https://www.foreclosure.com/address/W-Bay-St-Unit-205-Tampa-FL-33606/60828019_lid
"Ne 2nd Ave, Gainesville, FL 32641","$175,725",Estimated Market Value,$1131/m,Single-Family,3,2,1634, 92%,https://www.foreclosure.com/address/Ne-2nd-Ave-Gainesville-FL-32641/60826328_lid
"Skyline Blvd Apt 104, Cape Coral, FL 33914","$200,801",Estimated Market Value,$1080/m,Condo,2,2,918, 109%,https://www.foreclosure.com/address/Skyline-Blvd-Apt-104-Cape-Coral-FL-33914/60826339_lid
"Duncan St # 1334, Key West, FL 33040",N/A,N/A,N/A,N/A,2,1,817,N/A,https://www.foreclosure.com/address/Duncan-St--1334-Key-West-FL-33040/60826335_lid
"Magnolia Ave A, Anna Maria, FL 34216",N/A,N/A,N/A,Multi-Family,3,2,1666,N/A,https://www.foreclosure.com/address/Magnolia-Ave-A-Anna-Maria-FL-34216/60826341_lid
"Algoma Ave, Spring Hill, FL 34609","$309,875",Estimated Market Value,$1171/m,Single-Family,3,2,1554, 106%,https://www.foreclosure.com/address/Algoma-Ave-Spring-Hill-FL-34609/60826175_lid
"Spring Creek Cir Ne, Palm Bay, FL 32905","$325,116",Estimated Market Value,$1191/m,Single-Family,3,2,1413, 104%,https://www.foreclosure.com/address/Spring-Creek-Cir-Ne-Palm-Bay-FL-32905/60826178_lid
"N Redwood Ave, Hernando, FL 34442","$190,646",Estimated Market Value,N/A,Mobile,3,2,1632, 101%,https://www.foreclosure.com/address/N-Redwood-Ave-Hernando-FL-34442/60826200_lid
"Lake Vista Trl Apt 107, Port Saint Lucie, FL 34952","$181,299",Estimated Market Value,$1110/m,Condo,2,N/A,1170, 102%,https://www.foreclosure.com/address/Lake-Vista-Trl-Apt-107-Port-Saint-Lucie-FL-34952/60826199_lid
"Se Courances Dr, Port Saint Lucie, FL 34984","$551,446",Estimated Market Value,N/A,Single-Family,N/A,N/A,N/A, 101%,https://www.foreclosure.com/address/Se-Courances-Dr-Port-Saint-Lucie-FL-34984/60826227_lid
"Royal Oak Dr, Spring Hill, FL 34607","$680,639",Estimated Market Value,$1980/m,Single-Family,4,4,4007, 101%,https://www.foreclosure.com/address/Royal-Oak-Dr-Spring-Hill-FL-34607/60826270_lid
"Goodwin St, East Palatka, FL 32131","$72,389",Estimated Market Value,$730/m,Single-Family,N/A,N/A,N/A, 98%,https://www.foreclosure.com/address/Goodwin-St-East-Palatka-FL-32131/60826271_lid
"W Rainbow Oaks Ct, Crystal River, FL 34428","$221,159",Estimated Market Value,$1020/m,Single-Family,2,1,672, 113%,https://www.foreclosure.com/address/W-Rainbow-Oaks-Ct-Crystal-River-FL-34428/60826272_lid
"Espanola Way Apt 17, Miami Beach, FL 33139","$380,900",List Price,$1640/m,Condo,1,1,710, 114%,https://www.foreclosure.com/address/Espanola-Way-Apt-17-Miami-Beach-FL-33139/60825615_lid
"Lillis St, Punta Gorda, FL 33982","$181,634",Estimated Market Value,$1281/m,Single-Family,N/A,2,1248, 110%,https://www.foreclosure.com/address/Lillis-St-Punta-Gorda-FL-33982/60821336_lid
"Holland St, Fort Myers, FL 33917",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Holland-St-Fort-Myers-FL-33917/60821341_lid
"Nw 12th Ave, Ocala, FL 34475","$186,912",Estimated Market Value,$950/m,Single-Family,3,2,1288, 123%,https://www.foreclosure.com/address/Nw-12th-Ave-Ocala-FL-34475/60821345_lid
"Pinetree Ln, Belleair Bluffs, FL 33770","$783,882",Estimated Market Value,$1720/m,Single-Family,N/A,2,2505, 100%,https://www.foreclosure.com/address/Pinetree-Ln-Belleair-Bluffs-FL-33770/60823418_lid
"Arlex Dr E, Jacksonville, FL 32211","$250,325",Estimated Market Value,$1110/m,Single-Family,3,2,1310, 104%,https://www.foreclosure.com/address/Arlex-Dr-E-Jacksonville-FL-32211/60823518_lid
"Sw Granada Ln, Lake City, FL 32024","$126,900",List Price,$1092/m,Single-Family,3,1.1,1200, 141%,https://www.foreclosure.com/address/Sw-Granada-Ln-Lake-City-FL-32024/60818970_lid
"Sugar Pine Loop, Lake Wales, FL 33898","$425,000",List Price,$1580/m,Single-Family,3,2,2580, 94%,https://www.foreclosure.com/address/Sugar-Pine-Loop-Lake-Wales-FL-33898/60817268_lid
"Sw 9th Ave, Cape Coral, FL 33991","$296,100",List Price,$1480/m,Single-Family,3,2,1633, 104%,https://www.foreclosure.com/address/Sw-9th-Ave-Cape-Coral-FL-33991/60811423_lid
"Chickadee St, Milton, FL 32583","$239,500",List Price,N/A,Single-Family,4,2,N/A,N/A,https://www.foreclosure.com/address/Chickadee-St-Milton-FL-32583/60812304_lid
"Natchez Trace Blvd, Orlando, FL 32818","$329,770",Estimated Market Value,$1291/m,Single-Family,3,2,1373, 101%,https://www.foreclosure.com/address/Natchez-Trace-Blvd-Orlando-FL-32818/60807158_lid
"E Hoffman St, Lake Alfred, FL 33850","$295,461",Estimated Market Value,$1141/m,Single-Family,3,2,1230, 121%,https://www.foreclosure.com/address/E-Hoffman-St-Lake-Alfred-FL-33850/60807161_lid
"Monterey St, Poinciana, FL 34759",N/A,N/A,N/A,Single-Family,3,2,1827,N/A,https://www.foreclosure.com/address/Monterey-St-Poinciana-FL-34759/60807164_lid
"Arlington St, Orlando, FL 32805","$334,067",Estimated Market Value,$1211/m,Single-Family,3,2,1818, 106%,https://www.foreclosure.com/address/Arlington-St-Orlando-FL-32805/60807168_lid
"Tall Maple Loop, Ocoee, FL 34761","$417,779",Estimated Market Value,$1570/m,Single-Family,3,2,1937, 109%,https://www.foreclosure.com/address/Tall-Maple-Loop-Ocoee-FL-34761/60807167_lid
"Rose Ridge Cir, Orlando, FL 32839","$312,129",Estimated Market Value,$1261/m,Single-Family,3,2,1244, 106%,https://www.foreclosure.com/address/Rose-Ridge-Cir-Orlando-FL-32839/60807170_lid
"Sw 103rd Ave, Miami, FL 33173","$505,484",Estimated Market Value,$2180/m,Townhome,3,1,N/A, 107%,https://www.foreclosure.com/address/Sw-103rd-Ave-Miami-FL-33173/60808873_lid
"Oakhurst St, Altamonte Springs, FL 32701","$438,451",Estimated Market Value,$1600/m,Single-Family,N/A,2,1863, 103%,https://www.foreclosure.com/address/Oakhurst-St-Altamonte-Springs-FL-32701/60808928_lid
"Oaks Way Apt 203, Pompano Beach, FL 33069","$412,127",Estimated Market Value,$1780/m,Condo,3,2.5,1710, 126%,https://www.foreclosure.com/address/Oaks-Way-Apt-203-Pompano-Beach-FL-33069/60808935_lid
"31st Ave Ne, Naples, FL 34120",N/A,N/A,N/A,Single-Family,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/31st-Ave-Ne-Naples-FL-34120/60808939_lid
"Creek Bed Cir, Saint Cloud, FL 34769","$600,651",Estimated Market Value,$1940/m,Single-Family,3,2,1334, 253%,https://www.foreclosure.com/address/Creek-Bed-Cir-Saint-Cloud-FL-34769/60808944_lid
"Access Undetermined Pa..., Cape Coral, FL 33993","$29,900",List Price,N/A,Land,N/A,N/A,0,N/A,https://www.foreclosure.com/address/Access-Undetermined-Parkway-West-Cape-Coral%2C-Fl-33993-Cape-Coral-FL-33993/60805219_lid
"Commodore Dr, Jacksonville, FL 32244","$187,391",Estimated Market Value,$1121/m,Single-Family,3,1,1242, 96%,https://www.foreclosure.com/address/Commodore-Dr-Jacksonville-FL-32244/60806134_lid
"E Bay Blvd, Navarre, FL 32566","$107,440",Estimated Market Value,N/A,Mobile,3,2,924, 103%,https://www.foreclosure.com/address/E-Bay-Blvd-Navarre-FL-32566/60806143_lid
"Citrus Club Ln # 103, Orlando, FL 32839","$122,303",Estimated Market Value,$940/m,Single-Family,2,2,1132, 112%,https://www.foreclosure.com/address/Citrus-Club-Ln--103-Orlando-FL-32839/60805141_lid
"E 37th St, Hialeah, FL 33013","$441,834",Estimated Market Value,$1770/m,Single-Family,2,1,1192, 112%,https://www.foreclosure.com/address/E-37th-St-Hialeah-FL-33013/60801395_lid
"Nw 110th Ave, Doral, FL 33178","$933,819",Estimated Market Value,$3320/m,Single-Family,4,3,2900, 127%,https://www.foreclosure.com/address/Nw-110th-Ave-Doral-FL-33178/60801400_lid
"Lawn Tennis Ln, Jacksonville, FL 32277","$338,687",Estimated Market Value,$1388/m,Single-Family,4,2,1926, 116%,https://www.foreclosure.com/address/Lawn-Tennis-Ln-Jacksonville-FL-32277/60801404_lid
"Spyglass Ct, Spring Hill, FL 34606","$246,380",Estimated Market Value,$1010/m,Single-Family,N/A,2,1110, 95%,https://www.foreclosure.com/address/Spyglass-Ct-Spring-Hill-FL-34606/60802941_lid
"Inverrary Dr Apt 407, Lauderhill, FL 33319","$137,300",List Price,$1102/m,Condo,2,2,972, 133%,https://www.foreclosure.com/address/Inverrary-Dr-Apt-407-Lauderhill-FL-33319/60800302_lid
"Charles St, Orlando, FL 32808","$260,000",List Price,$1311/m,Single-Family,3,2,1975, 106%,https://www.foreclosure.com/address/Charles-St-Orlando-FL-32808/60800303_lid
"Palm Beach Rd, Big Pine Key, FL 33043","$861,456",Estimated Market Value,$2600/m,Single-Family,3,2,1600, 122%,https://www.foreclosure.com/address/Palm-Beach-Rd-Big-Pine-Key-FL-33043/60801519_lid
"Mauna Loa Blvd, Sarasota, FL 34241","$510,000",List Price,$1730/m,Single-Family,4,2,1540, 93%,https://www.foreclosure.com/address/Mauna-Loa-Blvd-Sarasota-FL-34241/60801530_lid
"Cameron St, Daytona Beach, FL 32114","$120,287",Estimated Market Value,$750/m,Single-Family,2,1.5,950, 110%,https://www.foreclosure.com/address/Cameron-St-Daytona-Beach-FL-32114/60795950_lid
"Camelot Dr, Fort Pierce, FL 34946","$191,904",Estimated Market Value,$1201/m,Single-Family,4,1.5,1157, 104%,https://www.foreclosure.com/address/Camelot-Dr-Fort-Pierce-FL-34946/60797617_lid
"Imperial St, Jacksonville, FL 32254","$98,040",Estimated Market Value,$1072/m,Single-Family,3,1,1054, 111%,https://www.foreclosure.com/address/Imperial-St-Jacksonville-FL-32254/60797662_lid
"Lake Tahoe Cir, West Palm Beach, FL 33409","$421,739",Estimated Market Value,$1910/m,Single-Family,4,2.5,2085, 102%,https://www.foreclosure.com/address/Lake-Tahoe-Cir-West-Palm-Beach-FL-33409/60797679_lid
"Willow Wood Dr Apt 3051, Boca Raton, FL 33434","$152,474",Estimated Market Value,$2080/m,Condo,2,2,1255, 131%,https://www.foreclosure.com/address/Willow-Wood-Dr-Apt-3051-Boca-Raton-FL-33434/60797749_lid
"Sunrise Ridge Ln, Jacksonville, FL 32211","$355,699",Estimated Market Value,$1410/m,Single-Family,4,2.5,2244, 99%,https://www.foreclosure.com/address/Sunrise-Ridge-Ln-Jacksonville-FL-32211/60797757_lid
"Mariner St, Jacksonville, FL 32220","$173,755",Estimated Market Value,$940/m,Single-Family,3,1,1216, 91%,https://www.foreclosure.com/address/Mariner-St-Jacksonville-FL-32220/60797758_lid
"Duncan St, Key West, FL 33040","$890,010",Estimated Market Value,$2670/m,Condo,N/A,N/A,N/A, 101%,https://www.foreclosure.com/address/Duncan-St-Key-West-FL-33040/60791622_lid
"Magnolia Ave, Mulberry, FL 33860","$151,125",Estimated Market Value,$1110/m,Single-Family,N/A,1,1334, 101%,https://www.foreclosure.com/address/Magnolia-Ave-Mulberry-FL-33860/60791639_lid
"Sw 45th St, Miami, FL 33175","$1,950,000",List Price,$4050/m,Single-Family,3,4,2643, 107%,https://www.foreclosure.com/address/Sw-45th-St-Miami-FL-33175/60789340_lid
"Sunset Ave, Leesburg, FL 34788","$240,000",List Price,$1082/m,Single-Family,3,2,1503, 119%,https://www.foreclosure.com/address/Sunset-Ave-Leesburg-FL-34788/60789341_lid
"San Mateo Rd, Satsuma, FL 32189","$205,000",List Price,N/A,Mobile,3,2,N/A, 99%,https://www.foreclosure.com/address/San-Mateo-Rd-Satsuma-FL-32189/60790047_lid
"Vaughn St, Gibsonton, FL 33534","$398,282",Estimated Market Value,$1390/m,Single-Family,4,2,1885, 102%,https://www.foreclosure.com/address/Vaughn-St-Gibsonton-FL-33534/60790056_lid
"Nw 88th Ter Unit 1301, Doral, FL 33178","$252,351",Estimated Market Value,$1570/m,N/A,2,2,1303, 101%,https://www.foreclosure.com/address/Nw-88th-Ter-Unit-1301-Doral-FL-33178/60789318_lid
"Ne 58th Ter, Silver Springs, FL 34488","$119,255",Estimated Market Value,$890/m,Mobile,3,2,1344, 104%,https://www.foreclosure.com/address/Ne-58th-Ter-Silver-Springs-FL-34488/60788785_lid
"Sw 14th Pl, Cape Coral, FL 33914","$343,200",List Price,$1540/m,Single-Family,3,2,1776, 59%,https://www.foreclosure.com/address/Sw-14th-Pl-Cape-Coral-FL-33914/60785513_lid
"Maybourne Rd, Yulee, FL 32097","$420,000",List Price,N/A,Single-Family,N/A,N/A,N/A,N/A,https://www.foreclosure.com/address/Maybourne-Rd-Yulee-FL-32097/60779383_lid
"Sw 88th Ter, Gainesville, FL 32608","$270,000",List Price,$1320/m,Single-Family,2,2,1284, 113%,https://www.foreclosure.com/address/Sw-88th-Ter-Gainesville-FL-32608/60779390_lid
"36th Ave W, Bradenton, FL 34205","$99,392",Estimated Market Value,$760/m,Single-Family,2,1,602, 110%,https://www.foreclosure.com/address/36th-Ave-W-Bradenton-FL-34205/60776157_lid
"Kenny Rd, Jacksonville, FL 32254","$140,250",Estimated Market Value,$1281/m,Single-Family,3,2,1120, 120%,https://www.foreclosure.com/address/Kenny-Rd-Jacksonville-FL-32254/60776158_lid
"Biggin Church Rd W, Jacksonville, FL 32224","$951,860",Estimated Market Value,$2790/m,Single-Family,4,3,2791, 120%,https://www.foreclosure.com/address/Biggin-Church-Rd-W-Jacksonville-FL-32224/60776160_lid
"Akins Dr, Spring Hill, FL 34610","$121,295",Estimated Market Value,N/A,Single-Family,3,2,1152, 100%,https://www.foreclosure.com/address/Akins-Dr-Spring-Hill-FL-34610/60776161_lid
"Wyoming Ave, Lynn Haven, FL 32444","$341,952",Estimated Market Value,$1530/m,Single-Family,3,2,1680, 125%,https://www.foreclosure.com/address/Wyoming-Ave-Lynn-Haven-FL-32444/60776159_lid
"Mallard Dr, Panama City, FL 32404","$195,648",Estimated Market Value,$1102/m,Single-Family,2,2,1305, 111%,https://www.foreclosure.com/address/Mallard-Dr-Panama-City-FL-32404/60776163_lid
"Arrow Ct, Navarre, FL 32566","$376,299",Estimated Market Value,$1620/m,Single-Family,4,2,1777, 101%,https://www.foreclosure.com/address/Arrow-Ct-Navarre-FL-32566/60777742_lid
"Se 141 St Pl, Umatilla, FL 32784",N/A,N/A,N/A,Single-Family,3,3,N/A,N/A,https://www.foreclosure.com/address/Se-141-St-Pl-Umatilla-FL-32784/60775149_lid
"Rollins Dr, Davenport, FL 33837","$356,900",List Price,$1181/m,Single-Family,3,2,1545, 102%,https://www.foreclosure.com/address/Rollins-Dr-Davenport-FL-33837/60776178_lid
"Trent Dr, Tamarac, FL 33321","$215,000",List Price,N/A,Condo,2,2,1312,N/A,https://www.foreclosure.com/address/Trent-Dr-Tamarac-FL-33321/60776353_lid
"S Cypress Bend Dr Apt 811, Pompano Beach, FL 33069","$302,525",Estimated Market Value,$1500/m,Condo,2,2,1340, 104%,https://www.foreclosure.com/address/S-Cypress-Bend-Dr-Apt-811-Pompano-Beach-FL-33069/60770627_lid
"Walnut Pl, Palm Coast, FL 32164","$339,766",Estimated Market Value,$1390/m,Single-Family,N/A,3,1760, 117%,https://www.foreclosure.com/address/Walnut-Pl-Palm-Coast-FL-32164/60771868_lid
"Dupre Dr, Jacksonville, FL 32221","$214,521",Estimated Market Value,$1201/m,Single-Family,3,1.5,1307, 94%,https://www.foreclosure.com/address/Dupre-Dr-Jacksonville-FL-32221/60771819_lid
"Ne 70th St, Gainesville, FL 32609","$94,900",List Price,$940/m,N/A,4,2,N/A, 106%,https://www.foreclosure.com/address/Ne-70th-St-Gainesville-FL-32609/60769680_lid
"Lloshire Path, Palm Coast, FL 32164","$312,000",List Price,$1690/m,Single-Family,4,2.1,2873, 106%,https://www.foreclosure.com/address/Lloshire-Path-Palm-Coast-FL-32164/60769681_lid
"St, Eustis, FL 32726","$599,000",List Price,N/A,Land,N/A,N/A,0,N/A,https://www.foreclosure.com/address/St-Eustis-FL-32726/60768648_lid
"Burpee Dr S, Jacksonville, FL 32210","$287,508",Estimated Market Value,$1230/m,Single-Family,5,2,2017, 124%,https://www.foreclosure.com/address/Burpee-Dr-S-Jacksonville-FL-32210/60769576_lid
"Bradshaw Dr, Sanford, FL 32771","$125,000",List Price,$970/m,Single-Family,3,1,972, 99%,https://www.foreclosure.com/address/Bradshaw-Dr-Sanford-FL-32771/60770680_lid
"Sw 71st Ave, Palmetto Bay, FL 33158","$3,659,701",Estimated Market Value,$4540/m,Single-Family,6,6,4871, 123%,https://www.foreclosure.com/address/Sw-71st-Ave-Palmetto-Bay-FL-33158/60765311_lid
"E Giddens Ave, Tampa, FL 33603","$274,271",Estimated Market Value,$1102/m,Single-Family,2,1,902, 178%,https://www.foreclosure.com/address/E-Giddens-Ave-Tampa-FL-33603/60765312_lid
"S Dale Mabry Hwy Unit ..., Tampa, FL 33611","$371,150",Estimated Market Value,$1281/m,Condo,3,2,1485, 101%,https://www.foreclosure.com/address/S-Dale-Mabry-Hwy-Unit-4103-Tampa-FL-33611/60765314_lid
"Garden Alcove Dr, Tampa, FL 33647","$823,494",Estimated Market Value,$2720/m,Single-Family,4,3,3525, 106%,https://www.foreclosure.com/address/Garden-Alcove-Dr-Tampa-FL-33647/60765317_lid
"W 25th St, Sanford, FL 32771","$239,520",Estimated Market Value,$1141/m,Condo,3,1.5,1498, 136%,https://www.foreclosure.com/address/W-25th-St-Sanford-FL-32771/60766815_lid
"Rockledge Dr, Rockledge, FL 32955","$876,545",Estimated Market Value,$1820/m,Single-Family,4,3,2948, 101%,https://www.foreclosure.com/address/Rockledge-Dr-Rockledge-FL-32955/60766849_lid
"Elberta Dr, Tallahassee, FL 32304","$160,000",List Price,$890/m,Single-Family,3,1,828, 116%,https://www.foreclosure.com/address/Elberta-Dr-Tallahassee-FL-32304/60765369_lid
"Ivan Dr, Tallahassee, FL 32303","$189,538",Estimated Market Value,$1121/m,Single-Family,3,1.5,1066, 110%,https://www.foreclosure.com/address/Ivan-Dr-Tallahassee-FL-32303/60760171_lid
